gen,sp
Rhopalosiphum,maidis
Rhopalosiphum,padi
Rhopalosiphum,rufiabdominale
Rhyacionia,buoliana
Rhyacionia,frustrana
Rhynchophorus,ferrugineus
Rhynchophorus,palmarum
Rhynchophorus,phoenicis
Rhynchophorus,vulneratus
Rhyzopertha,dominica
Riptortus,clavatus
Riptortus,dentipes
Riptortus,linearis
Riptortus,pedestris
Rivula,atimeta
Sacadodes,pyralis
Saccharicoccus,sacchari
Sahlbergella,singularis
Saissetia,coffeae
Saissetia,oleae
Saperda,carcharias
Saperda,populnea
Saturnia,pavonia
Saturnia,pyri
Scapanes,australis
Scaphoideus,luteolus
Scaphoideus,titanus
Schistocerca,gregaria
Schistocerca,nitens
Schizaphis,graminum
Scirpophaga,excerptalis
Scirpophaga,incertulas
Scirpophaga,innotata
Scirpophaga,nivella
Scirtothrips,aurantii
Scirtothrips,citri
Scirtothrips,dorsalis
Scirtothrips,perseae
Scolytus,intricatus
Scolytus,morawitzi
Scolytus,multistriatus
Scolytus,schevyrewi
Scolytus,scolytus
Scolytus,ventralis
Scotinophara,coarctata
Scrobipalpa,ocellatella
Scyphophorus,acupunctatus
Selenaspidus,articulatus
Selenothrips,rubrocinctus
Sesamia,calamistis
Sesamia,cretica
Sesamia,grisescens
Sesamia,inferens
Sesamia,nonagrioides
Singhiella,citrifolii
Sinoxylon,conigerum
Sipha,flava
Sipha,maydis
Siphoninus,phillyreae
Sirex,ermak
Sirex,juvencus
Sitobion,avenae
Sitobion,fragariae
Sitobion,miscanthi
Sitodiplosis,mosellana
Sitona,cylindricollis
Sitona,discoideus
Sitona,hispidulus
Sitona,humeralis
Sitona,lepidus
Sitona,lineatus
Sitophilus,granarius
Sitophilus,oryzae
Sitophilus,zeamais
Sitotroga,cerealella
Sminthurus,viridis
Sogatella,furcifera
Solenopsis,geminata
Solenopsis,invicta
Sophonia,orientalis
Sphaeraspis,vitis
Sphaerolecanium,prunastri
Sphinx,pinastri
Spilonota,ocellana
Spodoptera,eridania
Spodoptera,exempta
Spodoptera,exigua
Spodoptera,frugiperda
Spodoptera,littoralis
Spodoptera,litura
Spodoptera,mauritia
Spoladea,recurvalis
Statherotis,discana
Stegobium,paniceum
Steirastoma,breve
Stenchaetothrips,biformis
Stenodiplosis,sorghicola
Stenoma,catenifer
Stenoma,decora
Stephanitis,typica
Sternochetus,mangiferae
Strobilomyia,viaria
Symmetrischema,tangolias
Synanthedon,pictipes
Synanthedon,sequoiae
Taeniothrips,inconsequens
Tagosodes,orizicolus
Tanaostigmodes,cajaninae
Tapinoma,melanocephalum
Tarophagus,colocasiae
Tarophagus,persephone
Tecia,solanivora
Teia,anartoides
Tenebroides,mauritanicus
Tessaratoma,papillosa
Tetramoera,schistaceana
Tetraneura,nigriabdominalis
Tetropium,castaneum
Tetropium,gracilicorne
Thaumatotibia,leucotreta
Thaumetopoea,pityocampa
Thecodiplosis,brachyntera
Thecodiplosis,japonensis
Theretra,clotho
Theretra,oldenlandiae
Therioaphis,trifolii
Thrips,angusticeps
Thrips,flavus
Thrips,hawaiiensis
Thrips,imaginis
Thrips,palmi
Thrips,simplex
Thrips,tabaci
Thyridopteryx,ephemeraeformis
Thysanoplusia,orichalcea
Tipula,paludosa
Tiracola,plagiata
Tirathaba,mundella
Tirathaba,rufivena
Tomicus,minor
Tortrix,viridana
Toxoptera,aurantii
Toxoptera,citricida
Toxoptera,odinae
Toxotrypana,curvicauda
Tremex,fuscicornis
Trialeurodes,ricini
Trialeurodes,vaporariorum
Tribolium,castaneum
Tribolium,confusum
Trichoferus,campestris
Trichoplusia,ni
Trioza,erytreae
Trogoderma,granarium
Trogoderma,variabile
Trypodendron,lineatum
Tuta,absoluta
Typhaea,stercorea
Unaspis,citri
Unaspis,yanonensis
Urentius,hystricellus
Viteus,vitifoliae
Xestia,c-nigrum
Xyleborinus,saxesenii
Xyleborus,dispar
Xyleborus,emarginatus
Xyleborus,fallax
Xyleborus,ferrugineus
Xyleborus,perforans
Xyleborus,pseudopilifer
Xyleborus,similis
Xyleborus,volvulus
Xylosandrus,ater
Xylosandrus,compactus
Xylosandrus,crassiusculus
Xylosandrus,discolor
Xylosandrus,germanus
Xylosandrus,morigerus
Xylosandrus,mutilatus
Xylotrechus,altaicus
Xylotrechus,namanganensis
Xylotrechus,quadripes
Zabrotes,subfasciatus
Zabrus,tenebrioides
Zeuzera,coffeae
Zeuzera,pyrina
Zonocerus,elegans
Zonocerus,variegatus
Zophopetes,cerymica
Zophopetes,dysmephila
Zygogramma,bicolorata
